algorithm,num_agents,num_tasks,seed,success,iterations,total_distance,tasks_completed,productive_agents,unproductive_agents
greedy,20,10,26,True,4,220.12725789984444,10,7,13
greedy,20,10,27,True,4,217.95723849996983,10,10,10
greedy,20,10,28,True,6,327.3686461650126,10,8,12
greedy,20,10,29,True,4,217.03375880396604,10,9,11
fixed_pso,20,10,0,True,6,325.24654863629894,10,8,12
fixed_pso,20,10,1,True,3,158.00581626547992,10,9,11
fixed_pso,20,10,2,True,4,206.4132248933673,10,8,12
fixed_pso,20,10,3,True,9,485.9650393937223,10,8,12
fixed_pso,20,10,4,True,3,160.571508369674,10,9,11
fixed_pso,20,10,5,True,4,212.00800646158518,10,9,11
fixed_pso,20,10,6,True,3,159.43752462476368,10,8,12
fixed_pso,20,10,7,True,3,150.7498689944032,10,9,11
fixed_pso,20,10,8,True,8,430.76330816189954,10,8,12
fixed_pso,20,10,9,True,4,209.9907012423963,10,7,13
fixed_pso,20,10,10,True,6,317.1845956482588,10,6,14
fixed_pso,20,10,11,True,5,265.94249157841483,10,8,12
fixed_pso,20,10,12,True,9,486.4667712573087,10,8,12
fixed_pso,20,10,13,True,9,490.92774706460114,10,8,12
fixed_pso,20,10,14,True,5,260.9871518023052,10,7,13
fixed_pso,20,10,15,True,13,709.101862036177,10,8,12
fixed_pso,20,10,16,True,3,153.9044812114029,10,10,10
fixed_pso,20,10,17,True,4,207.49512014590897,10,8,12
fixed_pso,20,10,18,True,11,587.8583454802882,10,8,12
fixed_pso,20,10,19,True,6,317.61767929323935,10,7,13
fixed_pso,20,10,20,True,7,375.30947382672167,10,9,11
fixed_pso,20,10,21,True,5,263.6850937326093,10,9,11
fixed_pso,20,10,22,True,7,374.23392781679985,10,7,13
fixed_pso,20,10,23,True,7,370.855736347638,10,8,12
fixed_pso,20,10,24,True,3,156.02357533866285,10,10,10
fixed_pso,20,10,25,True,4,217.59053848219847,10,8,12
fixed_pso,20,10,26,True,5,262.95150163019747,10,7,13
fixed_pso,20,10,27,True,4,214.24937928135347,10,10,10
fixed_pso,20,10,28,True,6,319.15050543517947,10,8,12
fixed_pso,20,10,29,True,5,261.9517219944884,10,8,12
dynamic_pso,20,10,0,True,6,323.6760936919784,10,8,12
dynamic_pso,20,10,1,True,3,156.5223324213546,10,10,10
dynamic_pso,20,10,2,True,5,258.9232028034102,10,10,10
dynamic_pso,20,10,3,True,10,537.2523974887316,10,8,12
dynamic_pso,20,10,4,True,3,159.50770168325968,10,9,11
dynamic_pso,20,10,5,True,4,209.84842816848686,10,9,11
dynamic_pso,20,10,6,True,3,158.49528087125017,10,8,12
dynamic_pso,20,10,7,True,3,150.10270803529505,10,9,11
dynamic_pso,20,10,8,True,8,431.02507551588394,10,8,12
dynamic_pso,20,10,9,True,4,209.53925336297849,10,7,13
dynamic_pso,20,10,10,True,6,314.2407203178985,10,7,13
dynamic_pso,20,10,11,True,5,262.431861189357,10,8,12
dynamic_pso,20,10,12,True,9,484.55912171251066,10,8,12
dynamic_pso,20,10,13,True,9,487.7691975175635,10,8,12
dynamic_pso,20,10,14,True,6,314.20709551284983,10,8,12
dynamic_pso,20,10,15,True,13,706.2573635055206,10,8,12
dynamic_pso,20,10,16,True,3,152.3342196451352,10,10,10
dynamic_pso,20,10,17,True,4,205.57419907088206,10,8,12
dynamic_pso,20,10,18,True,11,584.1475468997863,10,9,11
dynamic_pso,20,10,19,True,6,316.0592524458091,10,7,13
dynamic_pso,20,10,20,True,7,371.8204119897095,10,9,11
dynamic_pso,20,10,21,True,6,313.815338891109,10,9,11
dynamic_pso,20,10,22,True,6,315.61504756354054,10,7,13
dynamic_pso,20,10,23,True,6,313.21473752280616,10,8,12
dynamic_pso,20,10,24,True,3,155.14394865633733,10,10,10
dynamic_pso,20,10,25,True,4,216.36309114711847,10,8,12
dynamic_pso,20,10,26,True,5,262.0163829413069,10,7,13
dynamic_pso,20,10,27,True,4,213.70985190565125,10,10,10
dynamic_pso,20,10,28,True,6,323.2803956890033,10,9,11
dynamic_pso,20,10,29,True,5,261.00079881925313,10,8,12
greedy,15,20,0,True,12,489.9978327001607,20,9,6
greedy,15,20,1,True,8,329.08069074301534,20,11,4
greedy,15,20,2,True,6,238.41327774834596,20,13,2
greedy,15,20,3,True,9,366.3047919646601,20,12,3
greedy,15,20,4,True,9,355.0190929050725,20,12,3
greedy,15,20,5,True,6,240.53558540727136,20,11,4
greedy,15,20,6,True,10,406.75254966692125,20,11,4
greedy,15,20,7,True,7,283.55463745474975,20,12,3
greedy,15,20,8,True,10,411.53330130678614,20,10,5
greedy,15,20,9,True,7,284.34370334545906,20,9,6
greedy,15,20,10,True,11,446.2369900140091,20,8,7
greedy,15,20,11,True,10,408.9611558258176,20,12,3
greedy,15,20,12,True,12,492.3103569168883,20,9,6
greedy,15,20,13,True,11,446.36285060372626,20,13,2
greedy,15,20,14,True,6,236.0311231833332,20,11,4
greedy,15,20,15,True,14,569.3923366215222,20,10,5
greedy,15,20,16,True,8,321.5725343215938,20,11,4
greedy,15,20,17,True,6,242.7245198290606,20,10,5
greedy,15,20,18,True,9,365.7094463327935,20,11,4
greedy,15,20,19,True,10,409.7525697307253,20,9,6
greedy,15,20,20,True,9,368.1103181429926,20,12,3
greedy,15,20,21,True,6,235.17010183295776,20,11,4
greedy,15,20,22,True,10,400.7254836334412,20,11,4
greedy,15,20,23,True,7,284.7505149211843,20,11,4
greedy,15,20,24,True,8,327.672134371951,20,9,6
greedy,15,20,25,True,8,326.45960733499146,20,10,5
greedy,15,20,26,True,6,244.8044777084248,20,11,4
greedy,15,20,27,True,7,281.0669064148477,20,12,3
greedy,15,20,28,True,6,242.7552535186847,20,11,4
greedy,15,20,29,True,9,368.13671478189195,20,13,2
fixed_pso,15,20,0,True,12,492.26858185324454,20,10,5
fixed_pso,15,20,1,True,9,358.34827213899746,20,13,2
fixed_pso,15,20,2,True,7,269.21963585719135,20,13,2
fixed_pso,15,20,3,True,17,689.3953963622711,20,12,3
fixed_pso,15,20,4,True,8,315.0992271849642,20,13,2
fixed_pso,15,20,5,True,7,277.4215640619026,20,12,3
fixed_pso,15,20,6,True,10,401.8250182752319,20,12,3
fixed_pso,15,20,7,True,7,273.4302652170151,20,13,2
fixed_pso,15,20,8,True,12,478.99045380955374,20,12,3
fixed_pso,15,20,9,True,7,283.56288199733626,20,10,5
fixed_pso,15,20,10,True,11,443.5797973701068,20,10,5
fixed_pso,15,20,11,True,9,342.74916205304015,20,11,4
fixed_pso,15,20,12,True,10,399.78857653760787,20,11,4
fixed_pso,15,20,13,True,10,399.07925992394775,20,12,3
fixed_pso,15,20,14,True,6,228.89403302008463,20,11,4
fixed_pso,15,20,15,True,14,556.1373974155197,20,11,4
fixed_pso,15,20,16,True,8,304.14926515946297,20,12,3
fixed_pso,15,20,17,True,7,276.4922652737932,20,10,5
fixed_pso,15,20,18,True,13,516.6844703710408,20,10,5
fixed_pso,15,20,19,True,10,407.7576245176848,20,10,5
fixed_pso,15,20,20,True,10,394.92704871834115,20,12,3
fixed_pso,15,20,21,True,7,275.64176556846115,20,11,4
fixed_pso,15,20,22,True,11,431.8705995593449,20,13,2
fixed_pso,15,20,23,True,9,357.72110336128077,20,13,2
fixed_pso,15,20,24,True,9,360.084908472599,20,9,6
fixed_pso,15,20,25,True,7,280.4427704952526,20,11,4
fixed_pso,15,20,26,True,6,226.91891601677423,20,11,4
fixed_pso,15,20,27,True,8,315.60030875852834,20,13,2
fixed_pso,15,20,28,True,7,273.4681505568538,20,12,3
