seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,path_cost_evaluations,successful_astar_queries,unreachable_astar_queries
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,0.2,5;6;7,event_global,1,32,295.0,2,0.0,2.306145608992665,32,18,2706,2706,0
11,a7d8aef04b886f8a20cc0f8a3fbc89ba1239b750d9810461f29fcf91ca3f4150,0.2,5;13;14,repeated,1,29,204.0,0,0.0,3.7794755780050764,29,29,3081,3081,0
11,a7d8aef04b886f8a20cc0f8a3fbc89ba1239b750d9810461f29fcf91ca3f4150,0.2,5;13;14,event_global,1,29,204.0,0,0.0,2.2478245020029135,29,15,1929,1929,0
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,0.2,0;1;3,repeated,1,23,220.0,1,0.0,6.624071270998684,23,23,3576,3576,0
12,7a8e524d931398773b487a14d2285991117314ddb6d63bf0c8d28a77a51c504b,0.2,0;1;3,event_global,1,23,220.0,1,0.0,3.1992908099928172,23,14,1848,1848,0
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,0.2,5;10;12,repeated,1,33,240.0,1,0.0,4.0048582849995,33,33,3333,3333,0
13,98aed25e5e736f72e2a01082390ca483dfe4958333720301fed29c4428c87d35,0.2,5;10;12,event_global,1,33,240.0,1,0.0,1.7568717969988938,33,14,1791,1791,0
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,0.2,5;10;11,repeated,1,22,184.0,1,0.0,2.705412069000886,22,22,2790,2790,0
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,0.2,5;10;11,event_global,1,22,184.0,1,0.0,1.2231207730073947,22,13,1479,1479,0
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,0.2,3;7;12,repeated,1,22,175.0,0,0.0,1.7773026799986837,22,22,2535,2535,0
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,0.2,3;7;12,event_global,1,22,175.0,0,0.0,2.3003237350058043,22,11,1671,1671,0
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,0.2,9;10;11,repeated,1,20,150.0,0,0.0,3.418940492992988,20,20,2199,2199,0
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,0.2,9;10;11,event_global,1,20,150.0,0,0.0,1.7139772600057768,20,13,1683,1683,0
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.2,6;8;14,repeated,1,26,216.0,0,0.0,2.7449131549947197,26,26,3159,3159,0
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.2,6;8;14,event_global,1,26,216.0,0,0.0,2.0283719030121574,26,18,2391,2391,0
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.2,3;10;13,repeated,1,22,208.0,2,0.0,3.3720980630023405,22,22,3078,3078,0
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.2,3;10;13,event_global,1,22,208.0,2,0.0,2.087138757997309,22,13,1854,1854,0
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.2,2;6;11,repeated,1,31,214.0,2,0.0,2.3535102640016703,31,31,3189,3189,0
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.2,2;6;11,event_global,1,31,214.0,2,0.0,1.6016043169947807,31,16,2310,2310,0
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.2,0;1;3,repeated,1,30,234.0,0,0.0,2.075796003002324,30,30,3483,3483,0
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.2,0;1;3,event_global,1,30,234.0,0,0.0,1.0309544369956711,30,13,1851,1851,0
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.2,1;2;11,repeated,1,33,286.0,2,0.0,3.2531631019955967,33,33,4206,4206,0
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.2,1;2;11,event_global,1,33,286.0,2,0.0,1.8640317420067731,33,16,2346,2346,0
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.2,0;2;5,repeated,1,22,198.0,0,0.0,1.5621619520097738,22,22,2937,2937,0
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.2,0;2;5,event_global,1,22,198.0,0,0.0,1.0608451229927596,22,13,1860,1860,0
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.2,4;10;13,repeated,1,21,180.0,0,0.0,1.5552602159878006,21,21,2580,2580,0
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.2,4;10;13,event_global,1,21,180.0,0,0.0,1.061496348993387,21,13,1812,1812,0
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.2,1;6;13,repeated,1,26,185.0,0,0.0,1.7983515029918635,26,26,2721,2721,0
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.2,1;6;13,event_global,1,26,185.0,0,0.0,1.509620441996958,26,16,2085,2085,0
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.2,4;8;14,repeated,1,23,187.0,0,0.0,1.869397376998677,23,23,2709,2709,0
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.2,4;8;14,event_global,1,23,187.0,0,0.0,1.4603957560029812,23,15,1977,1977,0
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.2,0;4;6,repeated,1,30,280.0,0,0.0,3.7389355000050273,30,30,4245,4245,0
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.2,0;4;6,event_global,1,30,280.0,0,0.0,1.7922015469957842,30,14,2079,2079,0
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.2,4;5;12,repeated,1,27,222.0,0,0.0,2.337424231998739,27,27,3138,3138,0
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.2,4;5;12,event_global,1,27,222.0,0,0.0,1.8429440839972813,27,15,2001,2001,0
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.2,0;1;3,repeated,1,21,170.0,0,0.0,3.051967824998428,21,21,2439,2439,0
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.2,0;1;3,event_global,1,21,170.0,0,0.0,2.3292279790039174,21,13,1923,1923,0
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.2,4;5;10,repeated,1,26,198.0,0,0.0,3.760979894999764,26,26,3012,3012,0
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.2,4;5;10,event_global,1,26,198.0,0,0.0,2.5917651429917896,26,16,2136,2136,0
