seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,failure_rate,failure_iteration,failed_agent_count,failed_agent_ids,success,iterations,completed_tasks,total_distance,productive_agents,blocked_moves,unreachable_plans,redundant_target_ratio,runtime_seconds
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,hungarian_astar,15,20,0.2,0.0,5,0,,1,23,20,195.0,13,0,0,0.0,2.752893683005823
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,manhattan_greedy,15,20,0.2,0.0,5,0,,1,19,20,279.0,10,6,0,0.6666666666666666,0.06859993199759629
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,path_cost_greedy,15,20,0.2,0.0,5,0,,1,19,20,275.0,11,10,0,0.6526315789473685,2.0851265729870647
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,hungarian_astar,15,20,0.2,0.0,5,0,,1,15,20,130.0,13,0,0,0.0,1.864403258994571
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,manhattan_greedy,15,20,0.2,0.0,5,0,,1,33,20,482.0,11,13,0,0.7212121212121212,0.46953780700278
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,path_cost_greedy,15,20,0.2,0.0,5,0,,1,33,20,488.0,12,7,0,0.7313131313131314,4.201809961989056
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,hungarian_astar,15,20,0.2,0.0,5,0,,1,24,20,176.0,14,0,0,0.0,4.133923141998821
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,manhattan_greedy,15,20,0.2,0.2,5,3,1;2;3,1,47,20,550.0,11,29,0,0.6822107081174439,0.20085589100199286
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,path_cost_greedy,15,20,0.2,0.2,5,3,1;2;3,1,71,20,845.0,11,22,0,0.7820069204152249,14.457653315999778
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,hungarian_astar,15,20,0.2,0.2,5,3,1;2;3,1,32,20,248.0,12,0,0,0.0,16.349922221997986
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,manhattan_greedy,15,20,0.2,0.2,5,3,4;7;13,1,37,20,445.0,9,14,0,0.6884531590413944,0.847229046994471
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,path_cost_greedy,15,20,0.2,0.2,5,3,4;7;13,1,36,20,430.0,10,17,0,0.6577181208053692,11.590715365993674
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,hungarian_astar,15,20,0.2,0.2,5,3,4;7;13,1,27,20,223.0,11,3,0,0.0,5.545543385000201
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,manhattan_greedy,15,20,0.2,0.2,5,3,8;11;12,1,43,20,513.0,9,18,0,0.6892655367231638,0.2991094880126184
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,path_cost_greedy,15,20,0.2,0.2,5,3,8;11;12,1,41,20,494.0,9,13,0,0.6923076923076923,5.022938082998735
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,hungarian_astar,15,20,0.2,0.2,5,3,8;11;12,1,28,20,223.0,13,2,0,0.0,4.195531186996959
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,manhattan_greedy,15,20,0.2,0.2,5,3,5;9;10,1,32,20,390.0,12,9,0,0.7092731829573935,0.13535128500370774
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,path_cost_greedy,15,20,0.2,0.2,5,3,5;9;10,1,32,20,386.0,12,13,0,0.7042606516290727,2.945257570987451
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,hungarian_astar,15,20,0.2,0.2,5,3,5;9;10,1,21,20,177.0,11,0,0,0.0,2.6965552890032995
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,manhattan_greedy,15,20,0.2,0.2,5,3,0;2;12,1,86,20,986.0,9,61,0,0.8156638013371538,0.5474143860046752
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,path_cost_greedy,15,20,0.2,0.2,5,3,0;2;12,1,87,20,985.0,8,74,0,0.8158640226628895,6.299289214002783
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,hungarian_astar,15,20,0.2,0.2,5,3,0;2;12,1,33,20,272.0,12,2,0,0.0,4.668127532990184
5,084842ed1c0283d8869644d15d61f080bbc611ac9eed102df56952f8d59f0d98,manhattan_greedy,15,20,0.2,0.2,5,3,6;9;14,1,40,20,475.0,10,20,0,0.6404040404040404,0.4128000029886607
5,084842ed1c0283d8869644d15d61f080bbc611ac9eed102df56952f8d59f0d98,path_cost_greedy,15,20,0.2,0.2,5,3,6;9;14,1,40,20,479.0,9,16,0,0.6767676767676768,8.287596499998472
