seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,local_repair_calls,lock_escalations,path_cost_evaluations,successful_astar_queries,unreachable_astar_queries
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.0,,local_repair,1,39,258.0,4,0.0,0.23924173900741152,39,6,6,0,315,315,0
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.0,,lock_aware,1,25,215.0,3,0.0,1.3721824020030908,25,19,5,18,2010,2010,0
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.0,,repeated,1,28,222.0,0,0.0,2.098847111003124,28,28,0,0,3690,3690,0
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.0,,event_global,1,28,222.0,0,0.0,1.2008924629917601,28,12,0,0,2115,2115,0
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.0,,local_repair,1,36,241.0,2,0.0,0.2357148849987425,36,5,5,0,317,317,0
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.0,,lock_aware,1,28,220.0,2,0.0,1.0879956720018527,28,21,4,20,1862,1862,0
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.0,,repeated,1,25,259.0,0,0.0,6.342912271997193,25,25,0,0,4230,4230,0
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.0,,event_global,1,25,259.0,0,0.0,3.8217559160111705,25,14,0,0,2355,2355,0
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.0,,local_repair,0,500,325.0,442,0.0,1.2979941230005352,500,5,5,0,316,316,0
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.0,,lock_aware,1,29,265.0,0,0.0,4.21380181099812,29,23,4,22,2716,2716,0
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.0,,repeated,1,18,173.0,0,0.0,3.47887844601064,18,18,0,0,2835,2835,0
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.0,,event_global,1,18,173.0,0,0.0,1.514444624990574,18,11,0,0,1905,1905,0
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.0,,local_repair,1,31,196.0,0,0.0,0.30277726901113056,31,5,5,0,317,317,0
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.0,,lock_aware,1,17,173.0,0,0.0,1.4249414170044474,17,12,4,11,1577,1577,0
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.0,,repeated,1,19,175.0,0,0.0,2.8369999610004015,19,19,0,0,2760,2760,0
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.0,,event_global,1,19,175.0,0,0.0,2.1637831709958846,19,13,0,0,2040,2040,0
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.0,,local_repair,0,500,185.0,486,0.0,0.5345731220004382,500,4,4,0,318,318,0
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.0,,lock_aware,1,20,172.0,0,0.0,2.2899039670010097,20,16,3,15,1773,1773,0
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.0,,repeated,1,21,168.0,0,0.0,16.06853852799395,21,21,0,0,2760,2760,0
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.0,,event_global,1,21,168.0,0,0.0,42.75846756900137,21,13,0,0,1905,1905,0
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.0,,local_repair,0,500,217.0,461,0.0,8.152425683001638,500,4,4,0,319,319,0
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.0,,lock_aware,1,21,167.0,1,0.0,29.039022811994073,21,17,3,16,1729,1729,0
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.0,,repeated,1,23,166.0,3,0.0,58.427544788006344,23,23,0,0,2775,2775,0
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.0,,event_global,1,23,166.0,3,0.0,44.060068499995396,23,15,0,0,2100,2100,0
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.0,,local_repair,0,500,237.0,475,0.0,5.57217696600128,500,4,4,0,317,317,0
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.0,,lock_aware,1,23,166.0,3,0.0,5.570327168010408,23,19,3,18,1727,1727,0
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.0,,repeated,1,30,315.0,0,0.0,5.8876297649985645,30,30,0,0,5190,5190,0
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.0,,event_global,1,30,315.0,0,0.0,1.9662050069891848,30,12,0,0,1980,1980,0
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.0,,local_repair,0,500,407.0,468,0.0,0.5936399960046401,500,5,5,0,316,316,0
