algorithm,seed,obstacle_density,success,iterations,completed_tasks,total_distance,productive_agents,blocked_moves,unreachable_plans,redundant_target_events,redundant_target_ratio
path_cost_greedy,14,0.1,True,36,20,524.0,9,16,0,399,0.7388888888888889
path_cost_greedy,15,0.1,True,37,20,536.0,10,19,0,416,0.7495495495495496
path_cost_greedy,16,0.1,True,27,20,402.0,8,3,0,267,0.6592592592592592
path_cost_greedy,17,0.1,True,26,20,371.0,11,19,0,252,0.6461538461538462
path_cost_greedy,18,0.1,True,23,20,335.0,12,10,0,213,0.6173913043478261
path_cost_greedy,19,0.1,True,34,20,501.0,12,9,0,375,0.7352941176470589
path_cost_greedy,20,0.1,True,28,20,413.0,9,7,0,278,0.6619047619047619
path_cost_greedy,21,0.1,True,23,20,340.0,11,5,0,213,0.6173913043478261
path_cost_greedy,22,0.1,True,32,20,473.0,13,7,0,354,0.7375
path_cost_greedy,23,0.1,True,30,20,433.0,10,17,0,330,0.7333333333333333
path_cost_greedy,24,0.1,True,43,20,611.0,12,34,0,496,0.7689922480620155
path_cost_greedy,25,0.1,True,30,20,416.0,12,34,0,315,0.7
path_cost_greedy,26,0.1,True,31,20,463.0,9,2,0,335,0.7204301075268817
path_cost_greedy,27,0.1,True,21,20,309.0,11,6,0,232,0.7365079365079366
path_cost_greedy,28,0.1,True,51,20,722.0,11,43,0,622,0.8130718954248366
path_cost_greedy,29,0.1,True,30,20,442.0,12,8,0,304,0.6755555555555556
manhattan_greedy,0,0.15,True,35,20,511.0,10,14,0,367,0.699047619047619
manhattan_greedy,1,0.15,True,32,20,469.0,11,11,0,355,0.7395833333333334
manhattan_greedy,2,0.15,True,32,20,463.0,11,17,0,325,0.6770833333333334
manhattan_greedy,3,0.15,True,32,20,469.0,10,11,0,325,0.6770833333333334
manhattan_greedy,4,0.15,True,39,20,577.0,10,8,0,448,0.7658119658119659
manhattan_greedy,5,0.15,True,39,20,565.0,12,20,0,435,0.7435897435897436
manhattan_greedy,6,0.15,True,22,20,320.0,13,10,0,200,0.6060606060606061
manhattan_greedy,7,0.15,True,30,20,430.0,10,20,0,290,0.6444444444444445
manhattan_greedy,8,0.15,True,41,20,602.0,10,13,0,484,0.7869918699186992
manhattan_greedy,9,0.15,True,27,20,395.0,13,10,0,283,0.6987654320987654
manhattan_greedy,10,0.15,True,41,20,596.0,12,19,0,454,0.7382113821138211
manhattan_greedy,11,0.15,True,22,20,326.0,10,4,0,205,0.6212121212121212
manhattan_greedy,12,0.15,True,32,20,468.0,11,12,0,342,0.7125
manhattan_greedy,13,0.15,True,38,20,559.0,11,11,0,422,0.7403508771929824
manhattan_greedy,14,0.15,True,45,20,609.0,11,66,0,541,0.8014814814814815
manhattan_greedy,15,0.15,True,29,20,432.0,12,3,0,300,0.6896551724137931
manhattan_greedy,16,0.15,True,21,20,309.0,13,6,0,181,0.5746031746031746
manhattan_greedy,17,0.15,True,31,20,453.0,13,12,0,329,0.7075268817204301
manhattan_greedy,18,0.15,True,29,20,425.0,12,10,0,319,0.7333333333333333
manhattan_greedy,19,0.15,True,34,20,480.0,12,30,0,396,0.7764705882352941
manhattan_greedy,20,0.15,True,29,20,430.0,10,5,0,296,0.6804597701149425
manhattan_greedy,21,0.15,True,26,20,383.0,12,7,0,221,0.5666666666666667
manhattan_greedy,22,0.15,True,19,20,280.0,12,5,0,163,0.5719298245614035
manhattan_greedy,23,0.15,True,54,20,786.0,13,24,0,674,0.8320987654320988
manhattan_greedy,24,0.15,True,34,20,494.0,11,16,0,379,0.7431372549019608
manhattan_greedy,25,0.15,True,41,20,582.0,12,33,0,444,0.7219512195121951
manhattan_greedy,26,0.15,True,38,20,556.0,10,14,0,435,0.7631578947368421
