algorithm,seed,failure_rate,failed_agents,success,iterations,tasks_completed,total_distance,productive_agents
greedy,6,0.6,9,True,11,20,249.2589176089093,13
greedy,7,0.6,9,True,7,20,184.44760864781222,12
greedy,8,0.6,9,True,15,20,319.86577246378204,10
greedy,9,0.6,9,True,10,20,234.58317771511818,9
greedy,10,0.6,9,True,11,20,249.61371403415902,11
greedy,11,0.6,9,True,13,20,285.50118567371936,12
greedy,12,0.6,9,True,14,20,301.8132981647328,10
greedy,13,0.6,9,True,11,20,245.4602731762178,13
greedy,14,0.6,9,True,11,20,246.07922144451095,11
greedy,15,0.6,9,True,14,20,290.6098795714138,10
greedy,16,0.6,9,True,9,20,213.69174576443095,12
greedy,17,0.6,9,True,6,20,167.7555588222337,10
greedy,18,0.6,9,True,16,20,330.48926809080274,11
greedy,19,0.6,9,True,17,20,342.93702263079706,9
greedy,20,0.6,9,True,9,20,217.99271449265694,12
greedy,21,0.6,9,True,16,20,327.9921414154035,10
greedy,22,0.6,9,True,17,20,342.80612851440253,11
greedy,23,0.6,9,True,12,20,269.2802586480644,11
greedy,24,0.6,9,True,11,20,252.32967042487996,10
greedy,25,0.6,9,True,9,20,216.53295635908853,11
greedy,26,0.6,9,True,10,20,236.79069393727383,11
greedy,27,0.6,9,True,10,20,232.03570213523255,11
greedy,28,0.6,9,True,13,20,286.4127083015375,12
greedy,29,0.6,9,True,10,20,231.43544864880374,12
fixed_pso,0,0.6,9,True,17,20,345.88366758808763,11
fixed_pso,1,0.6,9,True,12,20,263.7388752477152,10
fixed_pso,2,0.6,9,True,13,20,271.24776520738664,12
fixed_pso,3,0.6,9,True,12,20,254.5164748340475,11
fixed_pso,4,0.6,9,True,14,20,283.4081769981224,12
fixed_pso,5,0.6,9,True,14,20,281.6666543129225,12
fixed_pso,6,0.6,9,True,11,20,242.61891445251632,14
fixed_pso,7,0.6,9,True,12,20,251.06638427903496,13
fixed_pso,8,0.6,9,True,16,20,325.1567258708335,13
fixed_pso,9,0.6,9,True,15,20,310.9877074269832,11
fixed_pso,10,0.6,9,True,13,20,271.30571334483915,12
fixed_pso,11,0.6,9,True,20,20,379.6033978549377,11
