seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,success,iterations,total_distance,productive_agents,blocked_moves,redundant_target_ratio,runtime_seconds
28,037e2942e28dc13c99296de83ac6bcb88a61304a618cf940989b6dec7dada526,hungarian_astar,5,10,0.2,1,39,165.0,5,0,0.0,0.3970066610054346
29,04370bf4e8678ec72461c9d024fa50eda80536c8fdd12bd7eec8c143f96d4ac6,manhattan_greedy,5,10,0.2,1,63,313.0,5,2,0.5396825396825397,0.11437175399623811
29,04370bf4e8678ec72461c9d024fa50eda80536c8fdd12bd7eec8c143f96d4ac6,path_cost_greedy,5,10,0.2,1,63,313.0,5,2,0.5396825396825397,0.7634214400022756
29,04370bf4e8678ec72461c9d024fa50eda80536c8fdd12bd7eec8c143f96d4ac6,hungarian_astar,5,10,0.2,1,48,153.0,5,0,0.0,0.775987211993197
0,74ed8216c4354e86d7c75e9df76bad7b49e058e95330bad7be93457c81d287b7,manhattan_greedy,10,10,0.2,1,39,383.0,8,7,0.7333333333333333,0.13634673699561972
0,74ed8216c4354e86d7c75e9df76bad7b49e058e95330bad7be93457c81d287b7,path_cost_greedy,10,10,0.2,1,34,337.0,8,3,0.7235294117647059,1.067974421006511
0,74ed8216c4354e86d7c75e9df76bad7b49e058e95330bad7be93457c81d287b7,hungarian_astar,10,10,0.2,1,27,143.0,9,1,0.0,0.9567775939940475
1,03dc86de6f563ac427e1eda10a43285c380112e5340a926ce87e48371273ffbb,manhattan_greedy,10,10,0.2,1,22,217.0,5,3,0.6454545454545455,0.0787496629927773
1,03dc86de6f563ac427e1eda10a43285c380112e5340a926ce87e48371273ffbb,path_cost_greedy,10,10,0.2,1,22,217.0,5,3,0.6454545454545455,0.8208915849972982
1,03dc86de6f563ac427e1eda10a43285c380112e5340a926ce87e48371273ffbb,hungarian_astar,10,10,0.2,1,21,96.0,7,0,0.0,0.8662514519965043
2,87c4d8ec80233731be85852c0d1d1b54c7b0ddcf6c0078184543c55c9913e6d3,manhattan_greedy,10,10,0.2,1,31,300.0,6,10,0.6935483870967742,0.07300098100677133
2,87c4d8ec80233731be85852c0d1d1b54c7b0ddcf6c0078184543c55c9913e6d3,path_cost_greedy,10,10,0.2,1,32,311.0,6,9,0.678125,0.8553369419969385
2,87c4d8ec80233731be85852c0d1d1b54c7b0ddcf6c0078184543c55c9913e6d3,hungarian_astar,10,10,0.2,1,19,119.0,7,1,0.0,0.8270621830015443
3,71fe1eeeff266e8a204df22ed9a790e724d6b4655b6daf8c9564e5d7f9b6c05b,manhattan_greedy,10,10,0.2,1,17,168.0,6,2,0.5294117647058824,0.028942263990757056
3,71fe1eeeff266e8a204df22ed9a790e724d6b4655b6daf8c9564e5d7f9b6c05b,path_cost_greedy,10,10,0.2,1,34,339.0,5,1,0.7617647058823529,0.6972403309919173
3,71fe1eeeff266e8a204df22ed9a790e724d6b4655b6daf8c9564e5d7f9b6c05b,hungarian_astar,10,10,0.2,1,15,108.0,7,0,0.0,0.4719716349936789
4,8d57ed51f92255b483544b426e4ffdeae20a66a224f6f2476de97dba02394e04,manhattan_greedy,10,10,0.2,1,22,214.0,8,6,0.5363636363636364,0.06428187699930277
4,8d57ed51f92255b483544b426e4ffdeae20a66a224f6f2476de97dba02394e04,path_cost_greedy,10,10,0.2,1,22,214.0,8,6,0.5590909090909091,0.8754856800078414
4,8d57ed51f92255b483544b426e4ffdeae20a66a224f6f2476de97dba02394e04,hungarian_astar,10,10,0.2,1,20,108.0,8,0,0.0,0.7632070940017002
5,6d440ca109e9a085dac4cb50409ca5f4a5691c60db5fe5fa0a5e7350162dc323,manhattan_greedy,10,10,0.2,1,13,128.0,8,2,0.5076923076923077,0.03414161600812804
5,6d440ca109e9a085dac4cb50409ca5f4a5691c60db5fe5fa0a5e7350162dc323,path_cost_greedy,10,10,0.2,1,13,128.0,8,2,0.5076923076923077,0.4882091289910022
5,6d440ca109e9a085dac4cb50409ca5f4a5691c60db5fe5fa0a5e7350162dc323,hungarian_astar,10,10,0.2,1,13,79.0,8,0,0.0,0.5214547499926994
6,b59dd90f26ccbba62ed555288e348bdfd9241e103529e153a55a3d6143173874,manhattan_greedy,10,10,0.2,1,32,313.0,9,7,0.740625,0.07630975500796922
6,b59dd90f26ccbba62ed555288e348bdfd9241e103529e153a55a3d6143173874,path_cost_greedy,10,10,0.2,1,32,313.0,9,7,0.740625,0.6996673829999054
6,b59dd90f26ccbba62ed555288e348bdfd9241e103529e153a55a3d6143173874,hungarian_astar,10,10,0.2,1,23,108.0,10,0,0.0,0.6684872930054553
7,eb089b1a20de33b301f61b6e481ab324f603e3326868d9db4fe0e90a72088f38,manhattan_greedy,10,10,0.2,1,32,316.0,6,4,0.675,0.13080113999603782
7,eb089b1a20de33b301f61b6e481ab324f603e3326868d9db4fe0e90a72088f38,path_cost_greedy,10,10,0.2,1,32,316.0,6,4,0.653125,1.4524786630063318
7,eb089b1a20de33b301f61b6e481ab324f603e3326868d9db4fe0e90a72088f38,hungarian_astar,10,10,0.2,1,21,135.0,7,0,0.0,1.084671543998411
8,cb81cd13c0b777fe83b3b634883afb4a22cf67771b5b278a068d312d4783bd75,manhattan_greedy,10,10,0.2,1,32,320.0,5,0,0.7375,0.06579261001024861
8,cb81cd13c0b777fe83b3b634883afb4a22cf67771b5b278a068d312d4783bd75,path_cost_greedy,10,10,0.2,1,37,356.0,5,14,0.7567567567567568,0.5380048310034908
8,cb81cd13c0b777fe83b3b634883afb4a22cf67771b5b278a068d312d4783bd75,hungarian_astar,10,10,0.2,1,23,128.0,6,0,0.0,0.48487567699339706
9,11b50640f2834b0ee6a7e119cbc8b7576b0259045064024404bc8f7b898f48fe,manhattan_greedy,10,10,0.2,1,18,171.0,6,9,0.7222222222222222,0.07626849200460128
9,11b50640f2834b0ee6a7e119cbc8b7576b0259045064024404bc8f7b898f48fe,path_cost_greedy,10,10,0.2,1,18,171.0,6,9,0.7277777777777777,0.3925264510035049
9,11b50640f2834b0ee6a7e119cbc8b7576b0259045064024404bc8f7b898f48fe,hungarian_astar,10,10,0.2,1,17,68.0,8,0,0.0,0.4044424169987906
10,eb0bc7ae68e74478697ae471e7e7f1227635652f730c699441c4c5d513383e54,manhattan_greedy,10,10,0.2,1,47,464.0,7,6,0.7489361702127659,0.31487629099865444
10,eb0bc7ae68e74478697ae471e7e7f1227635652f730c699441c4c5d513383e54,path_cost_greedy,10,10,0.2,1,59,581.0,6,9,0.8135593220338984,2.2401748080010293
