seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,success,iterations,total_distance,productive_agents,blocked_moves,redundant_target_ratio,runtime_seconds
19,74d4b0e676285be29a2475adf2879fcf43e647ccf00393ff52d3b25e944a64ad,hungarian_astar,15,20,0.0,1,24,188.0,11,0,0.0,1.9306708139993134
20,550ae1bb9e1147399329e3974db563663335eb41257100598a7e2962fd21b46c,manhattan_greedy,15,20,0.0,1,25,373.0,11,2,0.6293333333333333,0.10420732499915175
20,550ae1bb9e1147399329e3974db563663335eb41257100598a7e2962fd21b46c,path_cost_greedy,15,20,0.0,1,25,373.0,11,2,0.6293333333333333,2.272491880998132
20,550ae1bb9e1147399329e3974db563663335eb41257100598a7e2962fd21b46c,hungarian_astar,15,20,0.0,1,22,219.0,13,0,0.0,2.7695353839953896
21,6e4bf576ddc9bdd7130bf08989c3c9d040be5aafbffb7a12af6bdf9926c99d9f,manhattan_greedy,15,20,0.0,1,23,338.0,12,7,0.6608695652173913,0.12271330299699912
21,6e4bf576ddc9bdd7130bf08989c3c9d040be5aafbffb7a12af6bdf9926c99d9f,path_cost_greedy,15,20,0.0,1,23,338.0,12,7,0.6608695652173913,2.8654669759998797
21,6e4bf576ddc9bdd7130bf08989c3c9d040be5aafbffb7a12af6bdf9926c99d9f,hungarian_astar,15,20,0.0,1,17,147.0,14,0,0.0,2.0336986719994457
22,c90cb07d1b6fd62d558ed8980881c96a3094611db896f5bb20c6b31b78a0fa23,manhattan_greedy,15,20,0.0,1,18,267.0,11,3,0.6074074074074074,0.03627210300328443
22,c90cb07d1b6fd62d558ed8980881c96a3094611db896f5bb20c6b31b78a0fa23,path_cost_greedy,15,20,0.0,1,18,267.0,11,3,0.6074074074074074,1.5275202350021573
22,c90cb07d1b6fd62d558ed8980881c96a3094611db896f5bb20c6b31b78a0fa23,hungarian_astar,15,20,0.0,1,18,149.0,12,0,0.0,1.607350313999632
23,2d0e2a225c2e2a2595e1226873c9842f359f34312487fa77fd74606ef028d550,manhattan_greedy,15,20,0.0,1,41,560.0,13,55,0.7983739837398374,0.3353536590002477
23,2d0e2a225c2e2a2595e1226873c9842f359f34312487fa77fd74606ef028d550,path_cost_greedy,15,20,0.0,1,41,560.0,13,55,0.7983739837398374,3.0923839370007045
23,2d0e2a225c2e2a2595e1226873c9842f359f34312487fa77fd74606ef028d550,hungarian_astar,15,20,0.0,1,22,144.0,13,0,0.0,2.8602224770002067
24,85c459c55ba0643410e49f7de3152206bad1193b5643074e41d5f94bca24e334,manhattan_greedy,15,20,0.0,1,30,444.0,10,6,0.7533333333333333,0.27869537199876504
24,85c459c55ba0643410e49f7de3152206bad1193b5643074e41d5f94bca24e334,path_cost_greedy,15,20,0.0,1,30,444.0,10,6,0.7533333333333333,2.8454154550054227
24,85c459c55ba0643410e49f7de3152206bad1193b5643074e41d5f94bca24e334,hungarian_astar,15,20,0.0,1,17,141.0,14,0,0.0,2.3062061790042208
25,44649b0ebb4a64bc9692533f4bccd1c76ec286c6c24e3868d1a3e303e8f4a314,manhattan_greedy,15,20,0.0,1,30,429.0,11,21,0.7,0.10178926800290355
25,44649b0ebb4a64bc9692533f4bccd1c76ec286c6c24e3868d1a3e303e8f4a314,path_cost_greedy,15,20,0.0,1,30,429.0,11,21,0.7,3.542160645003605
25,44649b0ebb4a64bc9692533f4bccd1c76ec286c6c24e3868d1a3e303e8f4a314,hungarian_astar,15,20,0.0,1,20,177.0,13,0,0.0,2.804652683000313
