seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,event_replans,periodic_replans
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.0,,repeated,1,19,175.0,0,0.0,1.7903135670057964,19,19,nan,nan
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.0,,event_global,1,19,175.0,0,0.0,1.4210569489951013,19,13,12,0
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,0.0,,local_repair,0,500,185.0,486,0.0,0.38319179900281597,500,4,nan,nan
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.0,,repeated,1,21,168.0,0,0.0,2.2534592719894135,21,21,nan,nan
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.0,,event_global,1,21,168.0,0,0.0,1.5606921459984733,21,13,12,0
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,0.0,,local_repair,0,500,217.0,461,0.0,0.32709090200660285,500,4,nan,nan
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.0,,repeated,1,23,166.0,3,0.0,2.13925402899622,23,23,nan,nan
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.0,,event_global,1,23,166.0,3,0.0,1.6287837739946553,23,15,14,0
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,0.0,,local_repair,0,500,237.0,475,0.0,0.38745868898695335,500,4,nan,nan
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.0,,repeated,1,30,315.0,0,0.0,3.376719710009638,30,30,nan,nan
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.0,,event_global,1,30,315.0,0,0.0,1.273085736000212,30,12,11,0
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,0.0,,local_repair,0,500,407.0,468,0.0,0.4361097189976135,500,5,nan,nan
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.0,,repeated,1,23,195.0,0,0.0,1.882305606995942,23,23,nan,nan
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.0,,event_global,1,23,195.0,0,0.0,1.405620926991105,23,15,14,0
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,0.0,,local_repair,1,43,230.0,0,0.0,0.23047457200300414,43,4,nan,nan
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.0,,repeated,1,15,130.0,0,0.0,1.584777968004346,15,15,nan,nan
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.0,,event_global,1,15,130.0,0,0.0,1.4359145990019897,15,12,11,0
28,0b0090ab340fe847f5d113df6605f39bb1f6e473ca883688ec26ca82f9d86907,0.0,,local_repair,0,500,178.0,959,0.0,0.364920993000851,500,5,nan,nan
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.0,,repeated,1,24,176.0,0,0.0,2.5275031160126673,24,24,nan,nan
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.0,,event_global,1,24,176.0,0,0.0,1.4964443420030875,24,12,11,0
29,26d15bf20359cf8f7014f82d1c9074ea2c74c6d6a6596fc11fe5cae4b3ff83a0,0.0,,local_repair,1,47,223.0,0,0.0,0.31076741800643504,47,4,nan,nan
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.2,1;2;3,repeated,1,32,248.0,0,0.0,2.8741852149978513,32,32,nan,nan
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.2,1;2;3,event_global,1,32,248.0,0,0.0,1.424567879003007,32,14,13,0
0,373da5453cae534ed0e5820cb254f00ee54b9e236b910ecc507d40c86c37ed24,0.2,1;2;3,local_repair,0,500,327.0,470,0.0,0.46201485999336,500,5,nan,nan
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.2,4;7;13,repeated,1,27,223.0,3,0.0,2.62488169799326,27,27,nan,nan
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.2,4;7;13,event_global,1,27,223.0,3,0.0,1.9369969120016322,27,16,15,0
1,d9a2b175a7a3e1c67e9d2c435d9f3d50a2255318b91a79b9d0ee145f56f73c1b,0.2,4;7;13,local_repair,0,500,300.0,466,0.0,0.46224371501011774,500,9,nan,nan
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,0.2,8;11;12,repeated,1,28,223.0,2,0.0,2.048955548001686,28,28,nan,nan
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,0.2,8;11;12,event_global,1,28,223.0,2,0.0,1.2094898450013716,28,14,13,0
2,2c7aa5014f855d42cded0b042f5e559caf46c97c96b4ef879ce5a145ed99f338,0.2,8;11;12,local_repair,1,36,240.0,2,0.0,0.30042982898885384,36,5,nan,nan
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,0.2,5;9;10,repeated,1,21,177.0,0,0.0,1.401651876993128,21,21,nan,nan
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,0.2,5;9;10,event_global,1,21,177.0,0,0.0,0.842151370990905,21,12,11,0
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,0.2,5;9;10,local_repair,0,500,187.0,488,0.0,0.4231508890079567,500,5,nan,nan
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,0.2,0;2;12,repeated,1,33,272.0,2,0.0,2.216444076009793,33,33,nan,nan
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,0.2,0;2;12,event_global,1,33,272.0,2,0.0,1.3564127269928576,33,17,16,0
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,0.2,0;2;12,local_repair,0,500,307.0,474,0.0,0.38353775900031906,500,7,nan,nan
5,084842ed1c0283d8869644d15d61f080bbc611ac9eed102df56952f8d59f0d98,0.2,6;9;14,repeated,1,31,247.0,0,0.0,3.946438140992541,31,31,nan,nan
5,084842ed1c0283d8869644d15d61f080bbc611ac9eed102df56952f8d59f0d98,0.2,6;9;14,event_global,1,31,247.0,0,0.0,1.7379344130022218,31,13,12,0
5,084842ed1c0283d8869644d15d61f080bbc611ac9eed102df56952f8d59f0d98,0.2,6;9;14,local_repair,1,47,305.0,0,0.0,0.5079375119967153,47,4,nan,nan
6,ab571899befc6e625b077ab5562b411484b2d802dfcdaab3537961193a88bc99,0.2,3;7;14,repeated,1,28,239.0,1,0.0,2.3582913110003574,28,28,nan,nan
6,ab571899befc6e625b077ab5562b411484b2d802dfcdaab3537961193a88bc99,0.2,3;7;14,event_global,1,28,239.0,1,0.0,1.3855888539983425,28,15,14,0
6,ab571899befc6e625b077ab5562b411484b2d802dfcdaab3537961193a88bc99,0.2,3;7;14,local_repair,0,500,256.0,967,0.0,0.4086134219978703,500,6,nan,nan
7,d44613e0ff50096643de7759e2a6ff9b9a38dacb8e42f7147d011d58eac06768,0.2,6;11;13,repeated,1,29,197.0,1,0.0,2.5195436360081658,29,29,nan,nan
7,d44613e0ff50096643de7759e2a6ff9b9a38dacb8e42f7147d011d58eac06768,0.2,6;11;13,event_global,1,29,197.0,1,0.0,1.3737134059920209,29,14,13,0
7,d44613e0ff50096643de7759e2a6ff9b9a38dacb8e42f7147d011d58eac06768,0.2,6;11;13,local_repair,0,500,240.0,1444,0.0,0.5757356640096987,500,6,nan,nan
8,f894db0ca9ffeb2a03a0c98851209adc13b5620ca80fd367086baecdae577100,0.2,7;10;11,repeated,1,36,233.0,0,0.0,3.153583671009983,36,36,nan,nan
8,f894db0ca9ffeb2a03a0c98851209adc13b5620ca80fd367086baecdae577100,0.2,7;10;11,event_global,1,36,233.0,0,0.0,2.237761402997421,36,16,15,0
8,f894db0ca9ffeb2a03a0c98851209adc13b5620ca80fd367086baecdae577100,0.2,7;10;11,local_repair,0,500,264.0,462,0.0,0.4033237070107134,500,6,nan,nan
9,c5b68cda855df34a54ff5824e57bf17637fe3922358404968f0ffe872081a926,0.2,1;3;13,repeated,1,22,191.0,1,0.0,2.457736163007212,22,22,nan,nan
9,c5b68cda855df34a54ff5824e57bf17637fe3922358404968f0ffe872081a926,0.2,1;3;13,event_global,1,22,191.0,1,0.0,1.4163636690063868,22,13,12,0
9,c5b68cda855df34a54ff5824e57bf17637fe3922358404968f0ffe872081a926,0.2,1;3;13,local_repair,1,42,220.0,1,0.0,0.29173338299733587,42,5,nan,nan
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,0.2,5;6;7,repeated,1,32,295.0,2,0.0,2.4693929869972635,32,32,nan,nan
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,0.2,5;6;7,event_global,1,32,295.0,2,0.0,1.5498941859987099,32,18,17,0
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,0.2,5;6;7,local_repair,0,500,379.0,482,0.0,0.41851924601360224,500,8,nan,nan
11,a7d8aef04b886f8a20cc0f8a3fbc89ba1239b750d9810461f29fcf91ca3f4150,0.2,5;13;14,repeated,1,29,204.0,0,0.0,2.524723244001507,29,29,nan,nan
11,a7d8aef04b886f8a20cc0f8a3fbc89ba1239b750d9810461f29fcf91ca3f4150,0.2,5;13;14,event_global,1,29,204.0,0,0.0,1.6253470029914752,29,15,14,0
