algorithm,seed,failure_rate,failed_agents,success,iterations,tasks_completed,total_distance,productive_agents,surviving_agents,distance_per_task,distance_per_surviving_agent,tasks_per_surviving_agent
greedy,22,0.4,6,True,13,20,364.769383683218,10,9,18.2384691841609,40.52993152035756,2.2222222222222223
greedy,23,0.4,6,True,12,20,343.1848701879279,11,9,17.159243509396397,38.131652243103105,2.2222222222222223
greedy,24,0.4,6,True,10,20,294.6902070178148,11,9,14.73451035089074,32.74335633531276,2.2222222222222223
greedy,25,0.4,6,True,9,20,269.2195173717499,11,9,13.460975868587493,29.913279707972208,2.2222222222222223
greedy,26,0.4,6,True,8,20,245.0901797063706,11,9,12.25450898531853,27.232242189596732,2.2222222222222223
greedy,27,0.4,6,True,8,20,240.43570213523256,11,9,12.021785106761628,26.71507801502584,2.2222222222222223
greedy,28,0.4,6,True,9,20,267.977776027299,12,9,13.39888880136495,29.775308447477666,2.2222222222222223
greedy,29,0.4,6,True,17,20,465.55475154055097,12,9,23.277737577027548,51.72830572672788,2.2222222222222223
fixed_pso,0,0.4,6,True,17,20,462.1478851628476,10,9,23.10739425814238,51.34976501809418,2.2222222222222223
fixed_pso,1,0.4,6,True,12,20,337.3021950788571,12,9,16.865109753942853,37.478021675428565,2.2222222222222223
fixed_pso,2,0.4,6,True,13,20,354.8485971527689,14,9,17.742429857638445,39.42762190586321,2.2222222222222223
fixed_pso,3,0.4,6,True,13,20,348.7306792942584,11,9,17.43653396471292,38.7478532549176,2.2222222222222223
fixed_pso,4,0.4,6,True,8,20,228.0799933925368,12,9,11.40399966962684,25.342221488059646,2.2222222222222223
fixed_pso,5,0.4,6,True,12,20,333.15932291195395,12,9,16.657966145597698,37.017702545772664,2.2222222222222223
fixed_pso,6,0.4,6,True,12,20,340.7905770611446,13,9,17.039528853057227,37.86561967346051,2.2222222222222223
fixed_pso,7,0.4,6,True,18,20,474.9757637732621,12,9,23.748788188663106,52.77508486369579,2.2222222222222223
fixed_pso,8,0.4,6,True,15,20,404.20866078193626,12,9,20.210433039096813,44.91207342021514,2.2222222222222223
fixed_pso,9,0.4,6,True,14,20,383.5493609292548,10,9,19.177468046462742,42.61659565880609,2.2222222222222223
fixed_pso,10,0.4,6,True,13,20,359.38962032982147,12,9,17.969481016491073,39.93218003664683,2.2222222222222223
fixed_pso,11,0.4,6,True,12,20,320.61799020444795,11,9,16.030899510222397,35.62422113382755,2.2222222222222223
fixed_pso,12,0.4,6,True,9,20,263.4915142833654,11,9,13.17457571416827,29.276834920373933,2.2222222222222223
fixed_pso,13,0.4,6,True,11,20,303.86911146226186,12,9,15.193455573113093,33.76323460691798,2.2222222222222223
